"Step","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MAX","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MIN","DDPG_TempoRL_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MAX"
"0","16.80951473146576","16.80951473146576","16.80951473146576","13.788447224985044","13.788447224985044","13.788447224985044","42.299381200309384","42.299381200309384","42.299381200309384","4.53764197294319","4.53764197294319","4.53764197294319","2.7113472675460186","2.7113472675460186","2.7113472675460186","13.96168542746552","13.96168542746552","13.96168542746552","6.525772680379954","6.525772680379954","6.525772680379954","4.723462580267801","4.723462580267801","4.723462580267801","4.327886977974736","4.327886977974736","4.327886977974736","2.95754412605061","2.95754412605061","2.95754412605061"
"4000","7.703665589411797","7.703665589411797","7.703665589411797","17.787471325690888","17.787471325690888","17.787471325690888","4.8302349225206695","4.8302349225206695","4.8302349225206695","1.3838091344023193","1.3838091344023193","1.3838091344023193","7.811784186933089","7.811784186933089","7.811784186933089","12.192751544549678","12.192751544549678","12.192751544549678","4.459455209826997","4.459455209826997","4.459455209826997","4.200376147489993","4.200376147489993","4.200376147489993","3.899265375272101","3.899265375272101","3.899265375272101","5.845278266031485","5.845278266031485","5.845278266031485"
"8000","7.712000363596746","7.712000363596746","7.712000363596746","27.148200377648568","27.148200377648568","27.148200377648568","33.53649408063482","33.53649408063482","33.53649408063482","5.19327433860305","5.19327433860305","5.19327433860305","7.315515189296056","7.315515189296056","7.315515189296056","14.678246660445964","14.678246660445964","14.678246660445964","5.305943343890183","5.305943343890183","5.305943343890183","3.6054328659943287","3.6054328659943287","3.6054328659943287","4.2541478513384146","4.2541478513384146","4.2541478513384146","3.8150474449414573","3.8150474449414573","3.8150474449414573"
"12000","29.519496220928716","29.519496220928716","29.519496220928716","8.848225015071034","8.848225015071034","8.848225015071034","11.753054519445902","11.753054519445902","11.753054519445902","5.584158041874092","5.584158041874092","5.584158041874092","6.974319923896391","6.974319923896391","6.974319923896391","16.09002237979327","16.09002237979327","16.09002237979327","4.3035164785494056","4.3035164785494056","4.3035164785494056","4.252946393754895","4.252946393754895","4.252946393754895","4.507221422262304","4.507221422262304","4.507221422262304","20.158600111216494","20.158600111216494","20.158600111216494"
"16000","19.250170311320943","19.250170311320943","19.250170311320943","18.622363870811597","18.622363870811597","18.622363870811597","8.040334455146764","8.040334455146764","8.040334455146764","7.688411734802831","7.688411734802831","7.688411734802831","6.103245988364906","6.103245988364906","6.103245988364906","27.528827950617362","27.528827950617362","27.528827950617362","4.205336929218085","4.205336929218085","4.205336929218085","13.278448181226498","13.278448181226498","13.278448181226498","5.572856308460912","5.572856308460912","5.572856308460912","37.963534620675574","37.963534620675574","37.963534620675574"
"20000","49.799765109377056","49.799765109377056","49.799765109377056","15.271209436316614","15.271209436316614","15.271209436316614","11.558808726233183","11.558808726233183","11.558808726233183","27.08643131007785","27.08643131007785","27.08643131007785","6.2889682538419684","6.2889682538419684","6.2889682538419684","20.15416255672283","20.15416255672283","20.15416255672283","4.398751401231901","4.398751401231901","4.398751401231901","18.301410315384068","18.301410315384068","18.301410315384068","4.734921338103036","4.734921338103036","4.734921338103036","33.58952583529566","33.58952583529566","33.58952583529566"
"24000","102.3811491124022","102.3811491124022","102.3811491124022","18.122724551282566","18.122724551282566","18.122724551282566","21.387253735006276","21.387253735006276","21.387253735006276","44.09982953706526","44.09982953706526","44.09982953706526","7.2471734294287256","7.2471734294287256","7.2471734294287256","37.19634920709174","37.19634920709174","37.19634920709174","8.738784904008615","8.738784904008615","8.738784904008615","24.2107894447847","24.2107894447847","24.2107894447847","5.517673544832563","5.517673544832563","5.517673544832563","38.04054982346922","38.04054982346922","38.04054982346922"
"28000","114.00532699501987","114.00532699501987","114.00532699501987","42.62794360822891","42.62794360822891","42.62794360822891","49.13230722592079","49.13230722592079","49.13230722592079","45.139893136664696","45.139893136664696","45.139893136664696","7.204659656037521","7.204659656037521","7.204659656037521","33.39088580952516","33.39088580952516","33.39088580952516","24.062215426719867","24.062215426719867","24.062215426719867","27.099740677271893","27.099740677271893","27.099740677271893","4.300392603999084","4.300392603999084","4.300392603999084","34.00189170633074","34.00189170633074","34.00189170633074"
"32000","132.93689594895915","132.93689594895915","132.93689594895915","64.01374729688357","64.01374729688357","64.01374729688357","90.04324770572885","90.04324770572885","90.04324770572885","47.62624488831425","47.62624488831425","47.62624488831425","6.329410116373149","6.329410116373149","6.329410116373149","54.23811644723156","54.23811644723156","54.23811644723156","6.349976781465564","6.349976781465564","6.349976781465564","61.324724035399264","61.324724035399264","61.324724035399264","3.639347000540636","3.639347000540636","3.639347000540636","50.169943424783504","50.169943424783504","50.169943424783504"
"36000","104.42234293368847","104.42234293368847","104.42234293368847","33.57276222293903","33.57276222293903","33.57276222293903","77.0075583007639","77.0075583007639","77.0075583007639","75.5172288543753","75.5172288543753","75.5172288543753","5.738382233001404","5.738382233001404","5.738382233001404","93.34399422293171","93.34399422293171","93.34399422293171","8.216476001464216","8.216476001464216","8.216476001464216","80.27767106348024","80.27767106348024","80.27767106348024","3.6390781841388034","3.6390781841388034","3.6390781841388034","43.28883866367514","43.28883866367514","43.28883866367514"
