"Step","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_100 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_100 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_100 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_90 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_90 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_90 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_80 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_80 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_80 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_70 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_70 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_70 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_60 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_60 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_60 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_50 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_50 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_50 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_40 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_40 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_40 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_30 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_30 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_30 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_20 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_20 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_20 - eval/avg_reward__MAX","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward__MIN","DDPG_EQL_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward__MAX"
"0","28.98665549783625","28.98665549783625","28.98665549783625","14.216058914322252","14.216058914322252","14.216058914322252","29.152748069773754","29.152748069773754","29.152748069773754","13.714771503101346","13.714771503101346","13.714771503101346","19.941519307343583","19.941519307343583","19.941519307343583","21.55086695005724","21.55086695005724","21.55086695005724","4.2935048636318545","4.2935048636318545","4.2935048636318545","9.423412809668829","9.423412809668829","9.423412809668829","8.620035076098642","8.620035076098642","8.620035076098642","36.27183051738649","36.27183051738649","36.27183051738649"
"4000","23.7791251934464","23.7791251934464","23.7791251934464","27.13122144619191","27.13122144619191","27.13122144619191","5.405658311854634","5.405658311854634","5.405658311854634","4.504552104331928","4.504552104331928","4.504552104331928","6.102504744965772","6.102504744965772","6.102504744965772","9.051454369711148","9.051454369711148","9.051454369711148","39.14746564104371","39.14746564104371","39.14746564104371","10.779640436378035","10.779640436378035","10.779640436378035","8.321592978092825","8.321592978092825","8.321592978092825","9.000194415134848","9.000194415134848","9.000194415134848"
"8000","23.77912519623457","23.77912519623457","23.77912519623457","26.647931975756773","26.647931975756773","26.647931975756773","33.48854902703236","33.48854902703236","33.48854902703236","4.975224565807809","4.975224565807809","4.975224565807809","12.3378897291887","12.3378897291887","12.3378897291887","24.19097162498158","24.19097162498158","24.19097162498158","4.923522563166179","4.923522563166179","4.923522563166179","12.239826264772521","12.239826264772521","12.239826264772521","80.80237191891707","80.80237191891707","80.80237191891707","17.211657418766844","17.211657418766844","17.211657418766844"
"12000","4.335202449071565","4.335202449071565","4.335202449071565","26.65220459699858","26.65220459699858","26.65220459699858","66.85531716092385","66.85531716092385","66.85531716092385","34.911753979848086","34.911753979848086","34.911753979848086","65.4005472416242","65.4005472416242","65.4005472416242","11.186812411066851","11.186812411066851","11.186812411066851","36.080217459500616","36.080217459500616","36.080217459500616","50.58845176935037","50.58845176935037","50.58845176935037","24.45213237960201","24.45213237960201","24.45213237960201","33.95073358396476","33.95073358396476","33.95073358396476"
"16000","4.335760708289547","4.335760708289547","4.335760708289547","25.297063516563004","25.297063516563004","25.297063516563004","48.256951523634754","48.256951523634754","48.256951523634754","99.91383921384126","99.91383921384126","99.91383921384126","123.5988392122019","123.5988392122019","123.5988392122019","38.13237719971868","38.13237719971868","38.13237719971868","18.784564817141593","18.784564817141593","18.784564817141593","84.52398274972685","84.52398274972685","84.52398274972685","55.79772008281852","55.79772008281852","55.79772008281852","66.76380192577282","66.76380192577282","66.76380192577282"
"20000","5.8697304942507795","5.8697304942507795","5.8697304942507795","38.51594035563089","38.51594035563089","38.51594035563089","54.42693748986293","54.42693748986293","54.42693748986293","68.1790302058295","68.1790302058295","68.1790302058295","101.17039302308004","101.17039302308004","101.17039302308004","26.08257661557682","26.08257661557682","26.08257661557682","34.37540971430088","34.37540971430088","34.37540971430088","43.978657414843305","43.978657414843305","43.978657414843305","58.4635768996042","58.4635768996042","58.4635768996042","90.8227967058297","90.8227967058297","90.8227967058297"
"24000","24.162768507088867","24.162768507088867","24.162768507088867","13.721581855631417","13.721581855631417","13.721581855631417","54.338884843717935","54.338884843717935","54.338884843717935","65.13048814430019","65.13048814430019","65.13048814430019","85.39266337462276","85.39266337462276","85.39266337462276","61.71029225539638","61.71029225539638","61.71029225539638","37.572291409367594","37.572291409367594","37.572291409367594","80.26539586842924","80.26539586842924","80.26539586842924","97.56652173823815","97.56652173823815","97.56652173823815","87.4369002083423","87.4369002083423","87.4369002083423"
"28000","24.869674383732026","24.869674383732026","24.869674383732026","14.613772441078288","14.613772441078288","14.613772441078288","79.02845475314963","79.02845475314963","79.02845475314963","73.3464095494766","73.3464095494766","73.3464095494766","125.96599583689392","125.96599583689392","125.96599583689392","36.62675740753267","36.62675740753267","36.62675740753267","31.117675962415795","31.117675962415795","31.117675962415795","48.42228630484729","48.42228630484729","48.42228630484729","56.944062304987256","56.944062304987256","56.944062304987256","79.25415496061751","79.25415496061751","79.25415496061751"
"32000","24.093072996881975","24.093072996881975","24.093072996881975","28.828416320341255","28.828416320341255","28.828416320341255","80.15666979169647","80.15666979169647","80.15666979169647","102.10078822676792","102.10078822676792","102.10078822676792","129.31421308234872","129.31421308234872","129.31421308234872","62.94243363267911","62.94243363267911","62.94243363267911","39.41314253596712","39.41314253596712","39.41314253596712","57.09392329640131","57.09392329640131","57.09392329640131","67.6047629045426","67.6047629045426","67.6047629045426","93.47840351622536","93.47840351622536","93.47840351622536"
"36000","25.11039635265828","25.11039635265828","25.11039635265828","19.704910241062542","19.704910241062542","19.704910241062542","48.87240429149891","48.87240429149891","48.87240429149891","155.2318986466502","155.2318986466502","155.2318986466502","134.20715508392536","134.20715508392536","134.20715508392536","63.68329576236463","63.68329576236463","63.68329576236463","30.714371664011235","30.714371664011235","30.714371664011235","100.04294610716833","100.04294610716833","100.04294610716833","63.86340270186903","63.86340270186903","63.86340270186903","117.32738278700367","117.32738278700367","117.32738278700367"
