"Step","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MAX"
"0","2.7122393857708196","2.7122393857708196","2.7122393857708196","7.243395679286891","7.243395679286891","7.243395679286891","4.938151016809771","4.938151016809771","4.938151016809771","21.38747220571556","21.38747220571556","21.38747220571556","18.785975045999372","18.785975045999372","18.785975045999372","9.084713904319825","9.084713904319825","9.084713904319825","7.535050206658755","7.535050206658755","7.535050206658755","5.9628091257449185","5.9628091257449185","5.9628091257449185","12.21355352016006","12.21355352016006","12.21355352016006","50.5481708818198","50.5481708818198","50.5481708818198"
"4000","5.045490563126941","5.045490563126941","5.045490563126941","6.312535744434438","6.312535744434438","6.312535744434438","8.64231626823781","8.64231626823781","8.64231626823781","41.789843120479496","41.789843120479496","41.789843120479496","60.773963097361694","60.773963097361694","60.773963097361694","12.843005721398995","12.843005721398995","12.843005721398995","4.351562372185018","4.351562372185018","4.351562372185018","7.693861231259771","7.693861231259771","7.693861231259771","35.006453535553405","35.006453535553405","35.006453535553405","66.01532907482408","66.01532907482408","66.01532907482408"
"8000","69.37176294143266","69.37176294143266","69.37176294143266","13.834195122077707","13.834195122077707","13.834195122077707","74.22867980068438","74.22867980068438","74.22867980068438","36.657974896404525","36.657974896404525","36.657974896404525","43.426443566305615","43.426443566305615","43.426443566305615","12.004752799104764","12.004752799104764","12.004752799104764","6.829141639001401","6.829141639001401","6.829141639001401","7.547245480294757","7.547245480294757","7.547245480294757","21.396311116359474","21.396311116359474","21.396311116359474","57.60367139327193","57.60367139327193","57.60367139327193"
"12000","69.37115726470817","69.37115726470817","69.37115726470817","7.7878790888034075","7.7878790888034075","7.7878790888034075","55.14657956792263","55.14657956792263","55.14657956792263","44.143939716084546","44.143939716084546","44.143939716084546","33.413468082256344","33.413468082256344","33.413468082256344","21.556896131743212","21.556896131743212","21.556896131743212","4.8949677964292775","4.8949677964292775","4.8949677964292775","7.376033335166075","7.376033335166075","7.376033335166075","37.678018794118806","37.678018794118806","37.678018794118806","57.73593573271552","57.73593573271552","57.73593573271552"
"16000","69.37176302871538","69.37176302871538","69.37176302871538","5.066826977838348","5.066826977838348","5.066826977838348","55.406869100928574","55.406869100928574","55.406869100928574","53.002123575941674","53.002123575941674","53.002123575941674","51.39869134341937","51.39869134341937","51.39869134341937","47.24319957117979","47.24319957117979","47.24319957117979","20.947460870684097","20.947460870684097","20.947460870684097","11.494481025303788","11.494481025303788","11.494481025303788","39.99422466769808","39.99422466769808","39.99422466769808","94.90444353130195","94.90444353130195","94.90444353130195"
"20000","69.37176303739207","69.37176303739207","69.37176303739207","7.1534210651290575","7.1534210651290575","7.1534210651290575","51.93049474615644","51.93049474615644","51.93049474615644","52.6561099438512","52.6561099438512","52.6561099438512","47.41077451209814","47.41077451209814","47.41077451209814","22.501154972230832","22.501154972230832","22.501154972230832","26.231072923502808","26.231072923502808","26.231072923502808","28.354330372313264","28.354330372313264","28.354330372313264","47.029704296404304","47.029704296404304","47.029704296404304","99.05137793517795","99.05137793517795","99.05137793517795"
"24000","69.37176303739207","69.37176303739207","69.37176303739207","15.078809962274175","15.078809962274175","15.078809962274175","44.05875224918157","44.05875224918157","44.05875224918157","66.85306865675344","66.85306865675344","66.85306865675344","52.17723218732531","52.17723218732531","52.17723218732531","21.477011246520853","21.477011246520853","21.477011246520853","77.75738137812068","77.75738137812068","77.75738137812068","32.965156596184116","32.965156596184116","32.965156596184116","9.191989568310584","9.191989568310584","9.191989568310584","96.51425020220846","96.51425020220846","96.51425020220846"
"28000","69.34493946504594","69.34493946504594","69.34493946504594","10.4476138998849","10.4476138998849","10.4476138998849","76.21636319887531","76.21636319887531","76.21636319887531","46.40388222987009","46.40388222987009","46.40388222987009","64.97959918311714","64.97959918311714","64.97959918311714","42.2545085917572","42.2545085917572","42.2545085917572","112.692281041953","112.692281041953","112.692281041953","13.249373951443337","13.249373951443337","13.249373951443337","31.691080229888883","31.691080229888883","31.691080229888883","122.38232607287073","122.38232607287073","122.38232607287073"
"32000","68.53172368420144","68.53172368420144","68.53172368420144","7.348291738465372","7.348291738465372","7.348291738465372","74.11455242809798","74.11455242809798","74.11455242809798","63.10940914028305","63.10940914028305","63.10940914028305","34.369812003995634","34.369812003995634","34.369812003995634","54.3450199326609","54.3450199326609","54.3450199326609","126.90853620529515","126.90853620529515","126.90853620529515","22.35776521683015","22.35776521683015","22.35776521683015","33.22882675533903","33.22882675533903","33.22882675533903","92.99796853995463","92.99796853995463","92.99796853995463"
"36000","68.79856713567537","68.79856713567537","68.79856713567537","17.901471896163066","17.901471896163066","17.901471896163066","71.86437588403737","71.86437588403737","71.86437588403737","72.83107501388636","72.83107501388636","72.83107501388636","62.44784189491704","62.44784189491704","62.44784189491704","41.79102045468802","41.79102045468802","41.79102045468802","111.38256088572788","111.38256088572788","111.38256088572788","13.575369392867895","13.575369392867895","13.575369392867895","54.6878756486405","54.6878756486405","54.6878756486405","97.00925606954674","97.00925606954674","97.00925606954674"
