"Step","DQN_TempoRL_ZigZag_19 - eval/avg_reward","DQN_TempoRL_ZigZag_19 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_19 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_18 - eval/avg_reward","DQN_TempoRL_ZigZag_18 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_18 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_17 - eval/avg_reward","DQN_TempoRL_ZigZag_17 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_17 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_16 - eval/avg_reward","DQN_TempoRL_ZigZag_16 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_16 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_15 - eval/avg_reward","DQN_TempoRL_ZigZag_15 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_15 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_14 - eval/avg_reward","DQN_TempoRL_ZigZag_14 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_14 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_13 - eval/avg_reward","DQN_TempoRL_ZigZag_13 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_13 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_12 - eval/avg_reward","DQN_TempoRL_ZigZag_12 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_12 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_11 - eval/avg_reward","DQN_TempoRL_ZigZag_11 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_11 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_10 - eval/avg_reward","DQN_TempoRL_ZigZag_10 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_10 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_9 - eval/avg_reward","DQN_TempoRL_ZigZag_9 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_9 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_8 - eval/avg_reward","DQN_TempoRL_ZigZag_8 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_8 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_7 - eval/avg_reward","DQN_TempoRL_ZigZag_7 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_7 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_6 - eval/avg_reward","DQN_TempoRL_ZigZag_6 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_6 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_5 - eval/avg_reward","DQN_TempoRL_ZigZag_5 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_5 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_4 - eval/avg_reward","DQN_TempoRL_ZigZag_4 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_4 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_3 - eval/avg_reward","DQN_TempoRL_ZigZag_3 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_3 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_2 - eval/avg_reward","DQN_TempoRL_ZigZag_2 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_2 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_1 - eval/avg_reward","DQN_TempoRL_ZigZag_1 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_1 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_0 - eval/avg_reward","DQN_TempoRL_ZigZag_0 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_0 - eval/avg_reward__MAX"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-120","-120","-120","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-120","-120","-120","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-120","-120","-120","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5700","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6000","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-115","-115","-115","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100"
"6300","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-113","-113","-113","-100","-100","-100","-100","-100","-100","-109","-109","-109","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"6600","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"6900","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-122","-122","-122","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"7200","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"7500","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-117","-117","-117","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"7800","-100","-100","-100","-20","-20","-20","-116","-116","-116","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-117","-117","-117","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"8100","-100","-100","-100","-100","-100","-100","-116","-116","-116","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-120","-120","-120","-117","-117","-117","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100"
"8400","-100","-100","-100","-20","-20","-20","-116","-116","-116","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-122","-122","-122","-117","-117","-117","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"8700","-100","-100","-100","-20","-20","-20","-117","-117","-117","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-120","-120","-120","-20","-20","-20","-20","-20","-20","-116","-116","-116","-22","-22","-22","-100","-100","-100","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"9000","-100","-100","-100","-20","-20","-20","-116","-116","-116","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-124","-124","-124","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-117","-117","-117","-100","-100","-100","-23","-23","-23","-100","-100","-100","-100","-100","-100"
"9300","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-24","-24","-24","-21","-21","-21","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-23","-23","-23","-22","-22","-22","-100","-100","-100"
"9600","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-22","-22","-22","-21","-21","-21","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-23","-23","-23","-120","-120","-120","-100","-100","-100"
"9900","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-21","-21","-21","-20","-20","-20","-21","-21","-21","-22","-22","-22","-100","-100","-100","-24","-24","-24","-22","-22","-22","-100","-100","-100","-100","-100","-100","-23","-23","-23","-120","-120","-120","-100","-100","-100"
"10200","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-23","-23","-23","-20","-20","-20","-20","-20","-20","-21","-21","-21","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-23","-23","-23","-118","-118","-118","-100","-100","-100"
"10500","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-23","-23","-23","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-23","-23","-23","-118","-118","-118","-100","-100","-100"
"10800","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-23","-23","-23","-20","-20","-20","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-118","-118","-118","-100","-100","-100"
"11100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100"
"11400","-21","-21","-21","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"11700","-20","-20","-20","-20","-20","-20","-100","-100","-100","-24","-24","-24","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12000","-20","-20","-20","-20","-20","-20","-22","-22","-22","-24","-24","-24","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12300","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12600","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-23","-23","-23","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12900","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-23","-23","-23","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"13200","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-23","-23","-23","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"13500","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-21","-21","-21","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"13800","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-23","-23","-23","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"14100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-115","-115","-115","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-100","-100","-100","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"14400","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-23","-23","-23","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"14700","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"15000","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"15300","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"15600","-23","-23","-23","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"15900","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20"
"16200","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
