"Step","DQN_None_ZigZag_19 - eval/avg_reward","DQN_None_ZigZag_19 - eval/avg_reward__MIN","DQN_None_ZigZag_19 - eval/avg_reward__MAX","DQN_None_ZigZag_18 - eval/avg_reward","DQN_None_ZigZag_18 - eval/avg_reward__MIN","DQN_None_ZigZag_18 - eval/avg_reward__MAX","DQN_None_ZigZag_17 - eval/avg_reward","DQN_None_ZigZag_17 - eval/avg_reward__MIN","DQN_None_ZigZag_17 - eval/avg_reward__MAX","DQN_None_ZigZag_16 - eval/avg_reward","DQN_None_ZigZag_16 - eval/avg_reward__MIN","DQN_None_ZigZag_16 - eval/avg_reward__MAX","DQN_None_ZigZag_15 - eval/avg_reward","DQN_None_ZigZag_15 - eval/avg_reward__MIN","DQN_None_ZigZag_15 - eval/avg_reward__MAX","DQN_None_ZigZag_14 - eval/avg_reward","DQN_None_ZigZag_14 - eval/avg_reward__MIN","DQN_None_ZigZag_14 - eval/avg_reward__MAX","DQN_None_ZigZag_13 - eval/avg_reward","DQN_None_ZigZag_13 - eval/avg_reward__MIN","DQN_None_ZigZag_13 - eval/avg_reward__MAX","DQN_None_ZigZag_12 - eval/avg_reward","DQN_None_ZigZag_12 - eval/avg_reward__MIN","DQN_None_ZigZag_12 - eval/avg_reward__MAX","DQN_None_ZigZag_11 - eval/avg_reward","DQN_None_ZigZag_11 - eval/avg_reward__MIN","DQN_None_ZigZag_11 - eval/avg_reward__MAX","DQN_None_ZigZag_10 - eval/avg_reward","DQN_None_ZigZag_10 - eval/avg_reward__MIN","DQN_None_ZigZag_10 - eval/avg_reward__MAX","DQN_None_ZigZag_9 - eval/avg_reward","DQN_None_ZigZag_9 - eval/avg_reward__MIN","DQN_None_ZigZag_9 - eval/avg_reward__MAX","DQN_None_ZigZag_8 - eval/avg_reward","DQN_None_ZigZag_8 - eval/avg_reward__MIN","DQN_None_ZigZag_8 - eval/avg_reward__MAX","DQN_None_ZigZag_7 - eval/avg_reward","DQN_None_ZigZag_7 - eval/avg_reward__MIN","DQN_None_ZigZag_7 - eval/avg_reward__MAX","DQN_None_ZigZag_6 - eval/avg_reward","DQN_None_ZigZag_6 - eval/avg_reward__MIN","DQN_None_ZigZag_6 - eval/avg_reward__MAX","DQN_None_ZigZag_5 - eval/avg_reward","DQN_None_ZigZag_5 - eval/avg_reward__MIN","DQN_None_ZigZag_5 - eval/avg_reward__MAX","DQN_None_ZigZag_4 - eval/avg_reward","DQN_None_ZigZag_4 - eval/avg_reward__MIN","DQN_None_ZigZag_4 - eval/avg_reward__MAX","DQN_None_ZigZag_3 - eval/avg_reward","DQN_None_ZigZag_3 - eval/avg_reward__MIN","DQN_None_ZigZag_3 - eval/avg_reward__MAX","DQN_None_ZigZag_2 - eval/avg_reward","DQN_None_ZigZag_2 - eval/avg_reward__MIN","DQN_None_ZigZag_2 - eval/avg_reward__MAX","DQN_None_ZigZag_1 - eval/avg_reward","DQN_None_ZigZag_1 - eval/avg_reward__MIN","DQN_None_ZigZag_1 - eval/avg_reward__MAX","DQN_None_ZigZag_0 - eval/avg_reward","DQN_None_ZigZag_0 - eval/avg_reward__MIN","DQN_None_ZigZag_0 - eval/avg_reward__MAX"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-100","-100","-100"
"9900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100"
"10800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100"
"11100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100"
"11400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100"
"11700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"12000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"12300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"12600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"12900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"13200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"13500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"13800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"14100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-116","-116","-116","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"14400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"14700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100"
"15000","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"15300","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"15600","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"15900","-100","-100","-100","-100","-100","-100","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-22","-22","-22","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20"
"16200","-100","-100","-100","-100","-100","-100","-22","-22","-22","-22","-22","-22","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"16500","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"16800","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20"
"17100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20"
