"Step","DQN_None_Bridge_19 - eval/avg_reward","DQN_None_Bridge_19 - eval/avg_reward__MIN","DQN_None_Bridge_19 - eval/avg_reward__MAX","DQN_None_Bridge_18 - eval/avg_reward","DQN_None_Bridge_18 - eval/avg_reward__MIN","DQN_None_Bridge_18 - eval/avg_reward__MAX","DQN_None_Bridge_17 - eval/avg_reward","DQN_None_Bridge_17 - eval/avg_reward__MIN","DQN_None_Bridge_17 - eval/avg_reward__MAX","DQN_None_Bridge_16 - eval/avg_reward","DQN_None_Bridge_16 - eval/avg_reward__MIN","DQN_None_Bridge_16 - eval/avg_reward__MAX","DQN_None_Bridge_15 - eval/avg_reward","DQN_None_Bridge_15 - eval/avg_reward__MIN","DQN_None_Bridge_15 - eval/avg_reward__MAX","DQN_None_Bridge_14 - eval/avg_reward","DQN_None_Bridge_14 - eval/avg_reward__MIN","DQN_None_Bridge_14 - eval/avg_reward__MAX","DQN_None_Bridge_13 - eval/avg_reward","DQN_None_Bridge_13 - eval/avg_reward__MIN","DQN_None_Bridge_13 - eval/avg_reward__MAX","DQN_None_Bridge_12 - eval/avg_reward","DQN_None_Bridge_12 - eval/avg_reward__MIN","DQN_None_Bridge_12 - eval/avg_reward__MAX","DQN_None_Bridge_11 - eval/avg_reward","DQN_None_Bridge_11 - eval/avg_reward__MIN","DQN_None_Bridge_11 - eval/avg_reward__MAX","DQN_None_Bridge_10 - eval/avg_reward","DQN_None_Bridge_10 - eval/avg_reward__MIN","DQN_None_Bridge_10 - eval/avg_reward__MAX","DQN_None_Bridge_9 - eval/avg_reward","DQN_None_Bridge_9 - eval/avg_reward__MIN","DQN_None_Bridge_9 - eval/avg_reward__MAX","DQN_None_Bridge_8 - eval/avg_reward","DQN_None_Bridge_8 - eval/avg_reward__MIN","DQN_None_Bridge_8 - eval/avg_reward__MAX","DQN_None_Bridge_7 - eval/avg_reward","DQN_None_Bridge_7 - eval/avg_reward__MIN","DQN_None_Bridge_7 - eval/avg_reward__MAX","DQN_None_Bridge_6 - eval/avg_reward","DQN_None_Bridge_6 - eval/avg_reward__MIN","DQN_None_Bridge_6 - eval/avg_reward__MAX","DQN_None_Bridge_5 - eval/avg_reward","DQN_None_Bridge_5 - eval/avg_reward__MIN","DQN_None_Bridge_5 - eval/avg_reward__MAX","DQN_None_Bridge_4 - eval/avg_reward","DQN_None_Bridge_4 - eval/avg_reward__MIN","DQN_None_Bridge_4 - eval/avg_reward__MAX","DQN_None_Bridge_3 - eval/avg_reward","DQN_None_Bridge_3 - eval/avg_reward__MIN","DQN_None_Bridge_3 - eval/avg_reward__MAX","DQN_None_Bridge_2 - eval/avg_reward","DQN_None_Bridge_2 - eval/avg_reward__MIN","DQN_None_Bridge_2 - eval/avg_reward__MAX","DQN_None_Bridge_1 - eval/avg_reward","DQN_None_Bridge_1 - eval/avg_reward__MIN","DQN_None_Bridge_1 - eval/avg_reward__MAX","DQN_None_Bridge_0 - eval/avg_reward","DQN_None_Bridge_0 - eval/avg_reward__MIN","DQN_None_Bridge_0 - eval/avg_reward__MAX"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-108","-108","-108","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-108","-108","-108","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-108","-108","-108","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-15","-15","-15","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-112","-112","-112","-111","-111","-111","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-111","-111","-111","-100","-100","-100","-112","-112","-112","-100","-100","-100","-112","-112","-112","-111","-111","-111","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-15","-15","-15","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-113","-113","-113","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-113","-113","-113","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"11100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"11400","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"11700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"12000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-114","-114","-114","-17","-17","-17","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-15","-15","-15","-100","-100","-100","-13","-13","-13"
"12300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-112","-112","-112","-100","-100","-100","-13","-13","-13"
"12600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-15","-15","-15","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"12900","-115","-115","-115","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"13200","-100","-100","-100","-100","-100","-100","-115","-115","-115","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100"
"13500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-15","-15","-15","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"13800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-111","-111","-111","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"14100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-111","-111","-111","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"14400","-100","-100","-100","-100","-100","-100","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"14700","-100","-100","-100","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"15000","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"15300","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"15600","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"15900","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13"
"16200","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"16500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"16800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-115","-115","-115","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"17100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
