"Step","DQN_TempoRL_Bridge_19 - eval/avg_reward","DQN_TempoRL_Bridge_19 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_19 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_18 - eval/avg_reward","DQN_TempoRL_Bridge_18 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_18 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_17 - eval/avg_reward","DQN_TempoRL_Bridge_17 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_17 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_16 - eval/avg_reward","DQN_TempoRL_Bridge_16 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_16 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_15 - eval/avg_reward","DQN_TempoRL_Bridge_15 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_15 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_14 - eval/avg_reward","DQN_TempoRL_Bridge_14 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_14 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_13 - eval/avg_reward","DQN_TempoRL_Bridge_13 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_13 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_12 - eval/avg_reward","DQN_TempoRL_Bridge_12 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_12 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_11 - eval/avg_reward","DQN_TempoRL_Bridge_11 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_11 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_10 - eval/avg_reward","DQN_TempoRL_Bridge_10 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_10 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_9 - eval/avg_reward","DQN_TempoRL_Bridge_9 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_9 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_8 - eval/avg_reward","DQN_TempoRL_Bridge_8 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_8 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_7 - eval/avg_reward","DQN_TempoRL_Bridge_7 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_7 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_6 - eval/avg_reward","DQN_TempoRL_Bridge_6 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_6 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_5 - eval/avg_reward","DQN_TempoRL_Bridge_5 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_5 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_4 - eval/avg_reward","DQN_TempoRL_Bridge_4 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_4 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_3 - eval/avg_reward","DQN_TempoRL_Bridge_3 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_3 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_2 - eval/avg_reward","DQN_TempoRL_Bridge_2 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_2 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_1 - eval/avg_reward","DQN_TempoRL_Bridge_1 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_1 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_0 - eval/avg_reward","DQN_TempoRL_Bridge_0 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_0 - eval/avg_reward__MAX"
"3000","-108","-108","-108","-104","-104","-104","-107","-107","-107","-105","-105","-105","-107","-107","-107","-100","-100","-100","-105","-105","-105","-100","-100","-100","-100","-100","-100","-104","-104","-104","-13","-13","-13","-107","-107","-107","-108","-108","-108","-100","-100","-100","-108","-108","-108","-106","-106","-106","-108","-108","-108","-100","-100","-100","-100","-100","-100","-105","-105","-105"
"3300","-108","-108","-108","-104","-104","-104","-100","-100","-100","-105","-105","-105","-107","-107","-107","-104","-104","-104","-100","-100","-100","-105","-105","-105","-114","-114","-114","-104","-104","-104","-13","-13","-13","-100","-100","-100","-13","-13","-13","-110","-110","-110","-107","-107","-107","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-105","-105","-105"
"3600","-100","-100","-100","-104","-104","-104","-106","-106","-106","-107","-107","-107","-100","-100","-100","-105","-105","-105","-105","-105","-105","-105","-105","-105","-100","-100","-100","-104","-104","-104","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-108","-108","-108","-111","-111","-111","-100","-100","-100","-100","-100","-100","-105","-105","-105"
"3900","-100","-100","-100","-13","-13","-13","-106","-106","-106","-100","-100","-100","-15","-15","-15","-105","-105","-105","-105","-105","-105","-100","-100","-100","-100","-100","-100","-104","-104","-104","-13","-13","-13","-100","-100","-100","-13","-13","-13","-107","-107","-107","-105","-105","-105","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"4200","-108","-108","-108","-13","-13","-13","-104","-104","-104","-100","-100","-100","-13","-13","-13","-104","-104","-104","-100","-100","-100","-100","-100","-100","-13","-13","-13","-104","-104","-104","-13","-13","-13","-100","-100","-100","-13","-13","-13","-107","-107","-107","-13","-13","-13","-104","-104","-104","-104","-104","-104","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"4500","-100","-100","-100","-13","-13","-13","-104","-104","-104","-100","-100","-100","-15","-15","-15","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-104","-104","-104","-15","-15","-15","-100","-100","-100","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-104","-104","-104","-108","-108","-108","-100","-100","-100","-14","-14","-14"
"4800","-105","-105","-105","-13","-13","-13","-104","-104","-104","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-104","-104","-104","-15","-15","-15","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-13","-13","-13","-108","-108","-108","-100","-100","-100","-14","-14","-14"
"5100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-108","-108","-108","-100","-100","-100","-14","-14","-14"
"5400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-100","-100","-100","-14","-14","-14"
"5700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-14","-14","-14"
"6000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-108","-108","-108","-14","-14","-14","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"6300","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"6600","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-105","-105","-105","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-100","-100","-100","-13","-13","-13"
"6900","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-105","-105","-105","-13","-13","-13","-15","-15","-15","-13","-13","-13","-15","-15","-15","-13","-13","-13","-17","-17","-17","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"7200","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-15","-15","-15","-100","-100","-100","-13","-13","-13"
"7500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"7800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"8100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"8400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-113","-113","-113","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"8700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-15","-15","-15"
"9000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-108","-108","-108","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-100","-100","-100"
"9300","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-108","-108","-108","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-14","-14","-14","-15","-15","-15"
"9600","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-108","-108","-108","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-14","-14","-14","-100","-100","-100"
"9900","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-108","-108","-108","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10200","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-15","-15","-15"
"10800","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12300","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12600","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12900","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13200","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-17","-17","-17","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13"
"14400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"14700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"15000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15300","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15600","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15900","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"16200","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"16500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
