step,DQN_EQL_CliffWalking_0,DQN_EQL_CliffWalking_1,DQN_EQL_CliffWalking_10,DQN_EQL_CliffWalking_11,DQN_EQL_CliffWalking_12,DQN_EQL_CliffWalking_13,DQN_EQL_CliffWalking_14,DQN_EQL_CliffWalking_15,DQN_EQL_CliffWalking_16,DQN_EQL_CliffWalking_17,DQN_EQL_CliffWalking_18,DQN_EQL_CliffWalking_19,DQN_EQL_CliffWalking_2,DQN_EQL_CliffWalking_3,DQN_EQL_CliffWalking_4,DQN_EQL_CliffWalking_5,DQN_EQL_CliffWalking_6,DQN_EQL_CliffWalking_7,DQN_EQL_CliffWalking_8,DQN_EQL_CliffWalking_9,DQN_None_CliffWalking_0,DQN_None_CliffWalking_1,DQN_None_CliffWalking_10,DQN_None_CliffWalking_11,DQN_None_CliffWalking_12,DQN_None_CliffWalking_13,DQN_None_CliffWalking_14,DQN_None_CliffWalking_15,DQN_None_CliffWalking_16,DQN_None_CliffWalking_17,DQN_None_CliffWalking_18,DQN_None_CliffWalking_19,DQN_None_CliffWalking_2,DQN_None_CliffWalking_3,DQN_None_CliffWalking_4,DQN_None_CliffWalking_5,DQN_None_CliffWalking_6,DQN_None_CliffWalking_7,DQN_None_CliffWalking_8,DQN_None_CliffWalking_9,DQN_TempoRL_CliffWalking_0,DQN_TempoRL_CliffWalking_1,DQN_TempoRL_CliffWalking_10,DQN_TempoRL_CliffWalking_11,DQN_TempoRL_CliffWalking_12,DQN_TempoRL_CliffWalking_13,DQN_TempoRL_CliffWalking_14,DQN_TempoRL_CliffWalking_15,DQN_TempoRL_CliffWalking_16,DQN_TempoRL_CliffWalking_17,DQN_TempoRL_CliffWalking_18,DQN_TempoRL_CliffWalking_19,DQN_TempoRL_CliffWalking_2,DQN_TempoRL_CliffWalking_3,DQN_TempoRL_CliffWalking_4,DQN_TempoRL_CliffWalking_5,DQN_TempoRL_CliffWalking_6,DQN_TempoRL_CliffWalking_7,DQN_TempoRL_CliffWalking_8,DQN_TempoRL_CliffWalking_9,DQN_UTE_CliffWalking_0,DQN_UTE_CliffWalking_1,DQN_UTE_CliffWalking_10,DQN_UTE_CliffWalking_11,DQN_UTE_CliffWalking_12,DQN_UTE_CliffWalking_13,DQN_UTE_CliffWalking_14,DQN_UTE_CliffWalking_15,DQN_UTE_CliffWalking_16,DQN_UTE_CliffWalking_17,DQN_UTE_CliffWalking_18,DQN_UTE_CliffWalking_19,DQN_UTE_CliffWalking_2,DQN_UTE_CliffWalking_3,DQN_UTE_CliffWalking_4,DQN_UTE_CliffWalking_5,DQN_UTE_CliffWalking_6,DQN_UTE_CliffWalking_7,DQN_UTE_CliffWalking_8,DQN_UTE_CliffWalking_9
2000,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2200,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2400,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2600,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.5,-100.0,-100.0,-100.0,-100.0
2800,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.5,-100.0,-100.0,-58.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.5,-100.0,-100.0,-100.0,-57.5,-100.0,-100.0,-100.0,-57.5
3000,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.5,-100.0,-100.0,-100.0,-56.5,-56.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-56.5,-56.5,-57.5,-100.0,-100.0,-57.5,-56.5,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-71.33333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.5,-100.0,-100.0,-100.0,-100.0,-56.5,-56.5,-56.5,-100.0,-100.0,-100.0
3200,-100.0,-100.0,-16.0,-56.5,-100.0,-100.0,-56.5,-57.0,-100.0,-100.0,-100.0,-13.0,-100.0,-100.0,-100.0,-56.5,-100.0,-58.5,-100.0,-56.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-57.0,-57.0,-100.0,-104.5,-59.5,-57.5,-13.0,-56.5,-100.0,-56.5,-57.5,-100.0,-100.0,-56.5,-56.5,-100.0,-100.0,-71.33333333333333,-100.0,-100.0,-57.0,-100.0,-100.0,-56.5,-100.0,-56.5,-57.0,-100.0,-100.0,-13.0,-58.5,-56.5,-56.5,-100.0,-56.5,-56.5
3400,-100.0,-14.5,-57.5,-13.0,-100.0,-100.0,-57.5,-57.0,-100.0,-100.0,-100.0,-13.5,-100.0,-100.0,-14.0,-13.0,-56.5,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-13.0,-100.0,-57.0,-56.5,-100.0,-104.5,-100.0,-57.5,-13.0,-56.5,-100.0,-57.5,-57.0,-100.0,-100.0,-57.5,-56.5,-57.0,-100.0,-42.333333333333336,-57.5,-100.0,-56.5,-58.5,-100.0,-56.5,-100.0,-56.5,-57.0,-56.5,-100.0,-13.5,-56.5,-56.5,-56.5,-100.0,-56.5,-57.0
3600,-56.5,-14.0,-15.0,-14.0,-15.0,-56.5,-56.5,-14.0,-100.0,-100.0,-56.5,-13.0,-56.5,-56.5,-57.0,-13.0,-14.0,-58.5,-57.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.5,-100.0,-57.0,-100.0,-13.5,-13.0,-57.0,-13.0,-58.5,-14.0,-13.0,-13.0,-100.0,-13.5,-14.5,-56.5,-56.5,-13.5,-14.5,-57.0,-100.0,-42.333333333333336,-14.0,-100.0,-56.5,-58.5,-100.0,-56.5,-100.0,-13.0,-13.0,-13.5,-100.0,-14.0,-13.5,-56.5,-56.5,-100.0,-56.5,-56.5
3800,-56.5,-13.5,-15.0,-13.5,-15.0,-13.5,-57.0,-14.0,-58.0,-57.0,-56.5,-13.0,-56.5,-56.5,-13.5,-13.5,-13.5,-57.5,-56.5,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-13.0,-100.0,-100.0,-100.0,-100.0,-13.5,-100.0,-13.0,-56.5,-13.5,-13.0,-56.5,-13.0,-13.5,-14.0,-13.0,-14.0,-56.5,-13.0,-13.0,-56.5,-13.0,-13.0,-14.0,-57.0,-100.0,-42.0,-14.0,-100.0,-13.0,-58.5,-58.0,-13.5,-56.5,-13.0,-14.5,-13.0,-100.0,-13.5,-13.5,-13.0,-56.5,-100.0,-14.0,-13.0
4000,-14.0,-13.0,-15.0,-13.5,-13.0,-13.5,-13.5,-14.0,-56.5,-57.0,-13.5,-13.0,-14.0,-57.5,-13.0,-13.5,-13.5,-57.5,-13.0,-14.5,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-13.0,-13.0,-100.0,-100.0,-100.0,-15.0,-56.5,-13.0,-56.5,-13.0,-13.0,-15.0,-13.0,-13.5,-14.0,-13.0,-15.5,-56.5,-13.0,-14.0,-56.5,-13.0,-13.0,-15.0,-56.5,-71.66666666666667,-42.0,-14.0,-57.0,-56.5,-58.5,-58.5,-13.5,-56.5,-13.0,-13.5,-13.0,-71.0,-13.0,-13.0,-13.0,-56.5,-56.5,-14.5,-13.0
4200,-57.5,-14.5,-15.0,-15.0,-57.0,-13.5,-13.5,-14.0,-13.5,-56.5,-13.5,-14.5,-13.5,-14.0,-13.0,-13.0,-14.0,-57.5,-13.0,-14.5,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-116.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-13.0,-100.0,-100.0,-100.0,-14.0,-13.0,-13.5,-56.5,-13.0,-13.0,-15.5,-56.5,-13.0,-14.0,-13.0,-14.0,-56.5,-13.0,-13.0,-56.5,-13.5,-13.5,-13.0,-13.5,-42.666666666666664,-42.0,-13.5,-56.5,-13.0,-58.5,-100.0,-13.0,-56.5,-13.5,-13.5,-13.0,-71.0,-13.0,-13.0,-13.0,-56.5,-56.5,-14.0,-13.0
4400,-14.0,-14.5,-15.0,-14.5,-56.5,-15.0,-13.5,-14.0,-56.5,-56.5,-13.5,-14.5,-13.0,-14.0,-13.5,-13.0,-14.0,-57.5,-13.0,-14.5,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-13.0,-100.0,-100.0,-100.0,-13.0,-14.0,-13.5,-56.5,-13.0,-13.0,-15.0,-13.0,-13.0,-14.0,-13.0,-13.0,-56.5,-13.0,-13.0,-56.5,-14.0,-14.5,-13.0,-14.0,-13.666666666666666,-42.0,-13.0,-56.5,-13.0,-58.5,-56.5,-13.0,-13.0,-13.0,-13.0,-13.0,-42.0,-13.0,-13.0,-13.0,-13.5,-56.5,-14.0,-13.0
4600,-14.0,-14.5,-15.0,-13.0,-13.0,-15.0,-13.5,-14.0,-13.5,-56.5,-13.5,-13.0,-13.0,-14.5,-13.5,-13.0,-13.5,-57.5,-13.0,-14.5,-100.0,-100.0,-15.0,-100.0,-100.0,-15.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-100.0,-100.0,-13.0,-100.0,-100.0,-100.0,-13.0,-13.0,-15.0,-56.5,-13.0,-13.0,-15.5,-13.0,-13.0,-14.0,-13.0,-13.0,-56.5,-13.0,-13.0,-15.0,-13.5,-13.5,-13.0,-14.0,-13.0,-13.0,-13.0,-56.5,-14.0,-58.5,-56.5,-13.0,-13.0,-13.0,-13.5,-13.0,-42.0,-13.0,-13.5,-13.0,-13.5,-56.5,-14.0,-13.0
4800,-13.0,-14.5,-15.0,-13.0,-13.5,-15.0,-13.5,-14.0,-13.0,-56.5,-13.5,-13.5,-13.0,-14.5,-14.0,-13.0,-13.5,-57.5,-13.0,-14.5,-100.0,-100.0,-13.0,-100.0,-100.0,-15.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-13.0,-100.0,-13.0,-13.0,-100.0,-100.0,-100.0,-13.0,-13.5,-14.5,-56.5,-13.0,-13.0,-14.0,-13.0,-13.0,-14.0,-13.5,-13.0,-56.5,-13.0,-13.0,-13.5,-13.5,-13.5,-13.5,-13.5,-13.0,-13.0,-13.0,-56.5,-13.0,-57.5,-14.0,-13.0,-13.0,-13.0,-13.5,-13.0,-13.0,-13.0,-14.0,-13.0,-13.5,-56.5,-14.5,-13.0
5000,-13.0,-13.0,-15.0,-13.5,-13.5,-15.0,-13.5,-14.0,-14.5,-56.5,-13.5,-13.0,-13.0,-14.0,-13.5,-13.0,-13.5,-57.5,-13.0,-13.5,-100.0,-100.0,-100.0,-100.0,-100.0,-15.0,-15.0,-100.0,-100.0,-100.0,-13.0,-100.0,-100.0,-13.0,-100.0,-100.0,-13.0,-100.0,-100.0,-100.0,-13.0,-13.0,-14.5,-56.5,-13.0,-13.0,-14.0,-13.0,-13.0,-14.0,-13.0,-13.0,-56.5,-13.0,-13.0,-13.5,-13.5,-13.0,-13.0,-14.0,-13.0,-13.0,-13.0,-13.0,-13.5,-57.5,-13.5,-13.0,-13.0,-13.0,-13.0,-13.0,-42.0,-13.0,-13.0,-13.0,-56.5,-56.5,-14.0,-13.0
5200,-13.0,-13.0,-15.0,-13.0,-56.5,-15.0,-13.5,-14.0,-14.5,-14.0,-13.0,-13.5,-13.0,-14.0,-13.5,-13.0,-14.0,-58.5,-13.0,-13.5,-100.0,-100.0,-13.0,-100.0,-100.0,-15.0,-15.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-13.0,-100.0,-13.0,-13.0,-100.0,-100.0,-100.0,-13.5,-14.5,-13.0,-57.0,-13.0,-13.0,-13.0,-13.0,-13.0,-14.0,-14.0,-13.0,-56.5,-13.0,-13.0,-13.5,-13.5,-13.0,-13.0,-13.5,-13.0,-13.0,-13.0,-56.5,-13.5,-57.5,-13.5,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-14.0,-13.0,-13.0
