"Step","DQN_UTE_Bridge_19 - eval/avg_reward","DQN_UTE_Bridge_19 - eval/avg_reward__MIN","DQN_UTE_Bridge_19 - eval/avg_reward__MAX","DQN_UTE_Bridge_18 - eval/avg_reward","DQN_UTE_Bridge_18 - eval/avg_reward__MIN","DQN_UTE_Bridge_18 - eval/avg_reward__MAX","DQN_UTE_Bridge_17 - eval/avg_reward","DQN_UTE_Bridge_17 - eval/avg_reward__MIN","DQN_UTE_Bridge_17 - eval/avg_reward__MAX","DQN_UTE_Bridge_16 - eval/avg_reward","DQN_UTE_Bridge_16 - eval/avg_reward__MIN","DQN_UTE_Bridge_16 - eval/avg_reward__MAX","DQN_UTE_Bridge_15 - eval/avg_reward","DQN_UTE_Bridge_15 - eval/avg_reward__MIN","DQN_UTE_Bridge_15 - eval/avg_reward__MAX","DQN_UTE_Bridge_14 - eval/avg_reward","DQN_UTE_Bridge_14 - eval/avg_reward__MIN","DQN_UTE_Bridge_14 - eval/avg_reward__MAX","DQN_UTE_Bridge_13 - eval/avg_reward","DQN_UTE_Bridge_13 - eval/avg_reward__MIN","DQN_UTE_Bridge_13 - eval/avg_reward__MAX","DQN_UTE_Bridge_12 - eval/avg_reward","DQN_UTE_Bridge_12 - eval/avg_reward__MIN","DQN_UTE_Bridge_12 - eval/avg_reward__MAX","DQN_UTE_Bridge_11 - eval/avg_reward","DQN_UTE_Bridge_11 - eval/avg_reward__MIN","DQN_UTE_Bridge_11 - eval/avg_reward__MAX","DQN_UTE_Bridge_10 - eval/avg_reward","DQN_UTE_Bridge_10 - eval/avg_reward__MIN","DQN_UTE_Bridge_10 - eval/avg_reward__MAX","DQN_UTE_Bridge_9 - eval/avg_reward","DQN_UTE_Bridge_9 - eval/avg_reward__MIN","DQN_UTE_Bridge_9 - eval/avg_reward__MAX","DQN_UTE_Bridge_8 - eval/avg_reward","DQN_UTE_Bridge_8 - eval/avg_reward__MIN","DQN_UTE_Bridge_8 - eval/avg_reward__MAX","DQN_UTE_Bridge_7 - eval/avg_reward","DQN_UTE_Bridge_7 - eval/avg_reward__MIN","DQN_UTE_Bridge_7 - eval/avg_reward__MAX","DQN_UTE_Bridge_6 - eval/avg_reward","DQN_UTE_Bridge_6 - eval/avg_reward__MIN","DQN_UTE_Bridge_6 - eval/avg_reward__MAX","DQN_UTE_Bridge_5 - eval/avg_reward","DQN_UTE_Bridge_5 - eval/avg_reward__MIN","DQN_UTE_Bridge_5 - eval/avg_reward__MAX","DQN_UTE_Bridge_4 - eval/avg_reward","DQN_UTE_Bridge_4 - eval/avg_reward__MIN","DQN_UTE_Bridge_4 - eval/avg_reward__MAX","DQN_UTE_Bridge_3 - eval/avg_reward","DQN_UTE_Bridge_3 - eval/avg_reward__MIN","DQN_UTE_Bridge_3 - eval/avg_reward__MAX","DQN_UTE_Bridge_2 - eval/avg_reward","DQN_UTE_Bridge_2 - eval/avg_reward__MIN","DQN_UTE_Bridge_2 - eval/avg_reward__MAX","DQN_UTE_Bridge_1 - eval/avg_reward","DQN_UTE_Bridge_1 - eval/avg_reward__MIN","DQN_UTE_Bridge_1 - eval/avg_reward__MAX","DQN_UTE_Bridge_0 - eval/avg_reward","DQN_UTE_Bridge_0 - eval/avg_reward__MIN","DQN_UTE_Bridge_0 - eval/avg_reward__MAX"
"3000","-104","-104","-104","-105","-105","-105","-100","-100","-100","-104","-104","-104","-107","-107","-107","-100","-100","-100","-105","-105","-105","-100","-100","-100","-105","-105","-105","-100","-100","-100","-100","-100","-100","-15","-15","-15","-107","-107","-107","-105","-105","-105","-105","-105","-105","-100","-100","-100","-107","-107","-107","-104","-104","-104","-104","-104","-104","-15","-15","-15"
"3300","-104","-104","-104","-100","-100","-100","-107","-107","-107","-104","-104","-104","-100","-100","-100","-15","-15","-15","-100","-100","-100","-100","-100","-100","-105","-105","-105","-100","-100","-100","-100","-100","-100","-106","-106","-106","-106","-106","-106","-13","-13","-13","-105","-105","-105","-100","-100","-100","-105","-105","-105","-100","-100","-100","-104","-104","-104","-100","-100","-100"
"3600","-104","-104","-104","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-105","-105","-105","-15","-15","-15","-100","-100","-100","-107","-107","-107","-107","-107","-107","-13","-13","-13","-100","-100","-100","-108","-108","-108","-100","-100","-100","-100","-100","-100","-104","-104","-104","-100","-100","-100"
"3900","-104","-104","-104","-100","-100","-100","-105","-105","-105","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-105","-105","-105","-100","-100","-100","-100","-100","-100","-107","-107","-107","-107","-107","-107","-13","-13","-13","-100","-100","-100","-106","-106","-106","-105","-105","-105","-100","-100","-100","-13","-13","-13","-15","-15","-15"
"4200","-104","-104","-104","-100","-100","-100","-100","-100","-100","-13","-13","-13","-106","-106","-106","-17","-17","-17","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-107","-107","-107","-13","-13","-13","-100","-100","-100","-100","-100","-100","-105","-105","-105","-100","-100","-100","-13","-13","-13","-15","-15","-15"
"4500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-108","-108","-108","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-109","-109","-109","-105","-105","-105","-104","-104","-104","-13","-13","-13","-15","-15","-15"
"4800","-104","-104","-104","-100","-100","-100","-100","-100","-100","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-100","-100","-100","-100","-100","-100","-105","-105","-105","-104","-104","-104","-13","-13","-13","-15","-15","-15"
"5100","-104","-104","-104","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-108","-108","-108","-105","-105","-105","-104","-104","-104","-13","-13","-13","-13","-13","-13"
"5400","-104","-104","-104","-105","-105","-105","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-108","-108","-108","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"5700","-104","-104","-104","-100","-100","-100","-100","-100","-100","-13","-13","-13","-107","-107","-107","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-108","-108","-108","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"6000","-104","-104","-104","-100","-100","-100","-13","-13","-13","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"6300","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"6600","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-107","-107","-107","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"6900","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-107","-107","-107","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"7200","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-107","-107","-107","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"7500","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-111","-111","-111","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"7800","-104","-104","-104","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"8100","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"8400","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-14","-14","-14","-15","-15","-15","-13","-13","-13","-106","-106","-106","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"8700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-107","-107","-107","-13","-13","-13","-13","-13","-13","-13","-13","-13","-109","-109","-109","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-109","-109","-109","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13"
"9300","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-109","-109","-109","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9600","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-108","-108","-108","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9900","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10200","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10800","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11400","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11700","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-109","-109","-109","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12000","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-109","-109","-109","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12300","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-100","-100","-100","-13","-13","-13","-106","-106","-106","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12600","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-100","-100","-100","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12900","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13200","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14400","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14700","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15300","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15600","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15900","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"16200","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"16500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"16800","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
